manifacturer/String,model/String,year/double,fuel/String,hp/double,doors/double,transition/String,category/String,size/String,style/String,price/double
BMW,3 Series,2016,premium,240,4,AUTOMATIC,lux,Midsize,Sedan,40350
BMW,3 Series,2016,premium,240,4,MANUAL,Performance,Midsize,Sedan,38350
BMW,3 Series,2016,premium,240,4,AUTOMATIC,lux,Midsize,Wagon,42650
BMW,3 Series,2016,premium,180,4,AUTOMATIC,lux,Midsize,Sedan,33150
BMW,3 Series,2016,premium,180,4,AUTOMATIC,lux,Midsize,Sedan,35150
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,Diesel,Midsize,Wagon,44150
BMW,3 Series,2016,premium,320,6,AUTOMATIC,High-Performance,Midsize,Sedan,45800
BMW,3 Series,2017,premium,248,4,AUTOMATIC,Performance,Midsize,Sedan,38750
BMW,3 Series,2017,premium,180,4,AUTOMATIC,lux,Midsize,Sedan,35450
BMW,3 Series,2017,premium,180,4,AUTOMATIC,lux,Midsize,Sedan,33450
BMW,3 Series,2017,premium,248,4,AUTOMATIC,lux,Midsize,Sedan,40750
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,Diesel,Midsize,Sedan,42250
BMW,3 Series,2017,premium,248,4,AUTOMATIC,lux,Midsize,Wagon,42950
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,Diesel,Midsize,Sedan,40250
BMW,3 Series,2017,premium,320,6,AUTOMATIC,Performance,Midsize,Sedan,49900
BMW,3 Series,2017,premium,320,6,AUTOMATIC,High-Performance,Midsize,Sedan,47900
BMW,3 Series,2017,diesel,180,4,AUTOMATIC,Diesel,Midsize,Wagon,44450
Mercedes-Benz,300-Class,1991,regular,177,6,AUTOMATIC,lux,Large,Sedan,2232
Mercedes-Benz,300-Class,1991,regular,177,6,AUTOMATIC,lux,Midsize,Wagon,2000
Mercedes-Benz,300-Class,1991,regular,158,6,AUTOMATIC,lux,Midsize,Sedan,2000
Mercedes-Benz,300-Class,1991,regular,177,6,AUTOMATIC,lux,Midsize,Sedan,2105
Mercedes-Benz,300-Class,1991,regular,177,6,AUTOMATIC,lux,Midsize,Wagon,2199
Mercedes-Benz,300-Class,1991,regular,177,6,AUTOMATIC,lux,Midsize,Sedan,2000
Mercedes-Benz,300-Class,1991,regular,177,6,AUTOMATIC,lux,Large,Sedan,2124
Mercedes-Benz,300-Class,1991,regular,228,6,MANUAL,Performance,Compact,Convertible,3552
Mercedes-Benz,300-Class,1991,regular,217,6,AUTOMATIC,lux,Midsize,Coupe,2179
Mercedes-Benz,300-Class,1991,diesel,121,5,AUTOMATIC,Diesel,Midsize,Sedan,2000
Mercedes-Benz,300-Class,1992,diesel,121,5,AUTOMATIC,Diesel,Midsize,Sedan,2000
Mercedes-Benz,300-Class,1992,regular,228,6,AUTOMATIC,lux,Large,Sedan,2377
Mercedes-Benz,300-Class,1992,regular,228,6,MANUAL,Performance,Compact,Convertible,3814
Mercedes-Benz,300-Class,1992,regular,177,6,AUTOMATIC,lux,Midsize,Sedan,2207
Mercedes-Benz,300-Class,1992,regular,177,6,AUTOMATIC,lux,Midsize,Wagon,2000
Mercedes-Benz,300-Class,1992,regular,217,6,AUTOMATIC,lux,Midsize,Coupe,2248
Mercedes-Benz,300-Class,1992,regular,177,6,AUTOMATIC,lux,Midsize,Sedan,2065
Mercedes-Benz,300-Class,1992,diesel,148,6,AUTOMATIC,Diesel,Large,Sedan,2547
Mercedes-Benz,300-Class,1992,regular,177,6,AUTOMATIC,lux,Midsize,Wagon,2282
Mercedes-Benz,300-Class,1992,regular,158,6,AUTOMATIC,lux,Midsize,Sedan,2000
Mercedes-Benz,300-Class,1993,regular,177,6,AUTOMATIC,lux,Midsize,Wagon,2544
Mercedes-Benz,300-Class,1993,regular,217,6,AUTOMATIC,lux,Midsize,Coupe,2397
Mercedes-Benz,300-Class,1993,diesel,121,5,AUTOMATIC,Diesel,Midsize,Sedan,2000
Mercedes-Benz,300-Class,1993,regular,228,6,MANUAL,Performance,Compact,Convertible,4174
Mercedes-Benz,300-Class,1993,regular,217,6,AUTOMATIC,lux,Midsize,Sedan,2187
Mercedes-Benz,300-Class,1993,diesel,148,6,AUTOMATIC,Diesel,Large,Sedan,2729
Mercedes-Benz,300-Class,1993,regular,177,6,AUTOMATIC,lux,Midsize,Sedan,2433
Mercedes-Benz,300-Class,1993,regular,194,6,AUTOMATIC,lux,Midsize,Sedan,2247
Mercedes-Benz,300-Class,1993,regular,228,6,AUTOMATIC,lux,Large,Sedan,2540
Mitsubishi,3000GT,1997,regular,218,6,MANUAL,Hatchback,Compact,2dr Hatchback,3941
Mitsubishi,3000GT,1997,regular,161,6,MANUAL,Hatchback,Compact,2dr Hatchback,3295
Mitsubishi,3000GT,1997,regular,320,6,MANUAL,Hatchback,Compact,2dr Hatchback,6008
Mitsubishi,3000GT,1998,regular,320,6,MANUAL,Hatchback,Compact,2dr Hatchback,6710
Mitsubishi,3000GT,1998,regular,161,6,MANUAL,Hatchback,Compact,2dr Hatchback,3701
Mitsubishi,3000GT,1998,regular,218,6,MANUAL,Hatchback,Compact,2dr Hatchback,4671
Mitsubishi,3000GT,1999,regular,218,6,MANUAL,Hatchback,Compact,2dr Hatchback,5306
Mitsubishi,3000GT,1999,regular,320,6,MANUAL,Hatchback,Compact,2dr Hatchback,7600
Mitsubishi,3000GT,1999,regular,161,6,MANUAL,Hatchback,Compact,2dr Hatchback,4090
Chrysler,300,2015,regular,300,6,AUTOMATIC,none,Large,Sedan,37570
Chrysler,300,2015,regular,292,6,AUTOMATIC,none,Large,Sedan,31695
Chrysler,300,2015,regular,292,6,AUTOMATIC,none,Large,Sedan,38070
Chrysler,300,2015,regular,292,6,AUTOMATIC,none,Large,Sedan,44895
Chrysler,300,2015,regular,300,6,AUTOMATIC,Performance,Large,Sedan,35070
Chrysler,300,2015,regular,292,6,AUTOMATIC,Performance,Large,Sedan,42395
Chrysler,300,2015,regular,292,6,AUTOMATIC,none,Large,Sedan,34195
Chrysler,300,2015,regular,292,6,AUTOMATIC,none,Large,Sedan,40570
Chrysler,300,2016,regular,300,6,AUTOMATIC,none,Large,Sedan,38095
Chrysler,300,2016,regular,300,6,AUTOMATIC,Performance,Large,Sedan,35595
Chrysler,300,2016,regular,292,6,AUTOMATIC,none,Large,Sedan,45190
Chrysler,300,2016,regular,292,6,AUTOMATIC,none,Large,Sedan,32260
Chrysler,300,2016,regular,292,6,AUTOMATIC,none,Large,Sedan,37755
Chrysler,300,2016,regular,292,6,AUTOMATIC,none,Large,Sedan,41055
Chrysler,300,2016,regular,300,6,AUTOMATIC,Performance,Large,Sedan,36090
Chrysler,300,2016,regular,292,6,AUTOMATIC,Performance,Large,Sedan,42690
Chrysler,300,2016,regular,292,6,AUTOMATIC,none,Large,Sedan,38555
Chrysler,300,2016,regular,292,6,AUTOMATIC,none,Large,Sedan,35255
Chrysler,300,2016,regular,300,6,AUTOMATIC,none,Large,Sedan,38590
Chrysler,300,2016,regular,292,6,AUTOMATIC,none,Large,Sedan,34760
Chrysler,300,2017,regular,292,6,AUTOMATIC,none,Large,Sedan,41135
Chrysler,300,2017,regular,292,6,AUTOMATIC,none,Large,Sedan,45270
Chrysler,300,2017,regular,300,6,AUTOMATIC,none,Large,Sedan,38670
Chrysler,300,2017,regular,292,6,AUTOMATIC,Performance,Large,Sedan,38635
Chrysler,300,2017,regular,300,6,AUTOMATIC,Performance,Large,Sedan,36170
Chrysler,300,2017,regular,300,6,AUTOMATIC,none,Large,Sedan,38175
Chrysler,300,2017,regular,292,6,AUTOMATIC,none,Large,Sedan,32340
Chrysler,300,2017,regular,292,6,AUTOMATIC,Performance,Large,Sedan,42770
Chrysler,300,2017,regular,292,6,AUTOMATIC,none,Large,Sedan,34840
Chrysler,300,2017,regular,300,6,AUTOMATIC,Performance,Large,Sedan,35675
Chrysler,300M,2002,premium,250,6,AUTOMATIC,Performance,Large,Sedan,32065
Chrysler,300M,2002,premium,250,6,AUTOMATIC,Performance,Large,Sedan,28540
Chrysler,300M,2003,premium,255,6,AUTOMATIC,Performance,Large,Sedan,32315
Chrysler,300M,2003,regular,250,6,AUTOMATIC,Performance,Large,Sedan,28885
Chrysler,300M,2004,regular,250,6,AUTOMATIC,Performance,Large,Sedan,29185
Chrysler,300M,2004,premium,255,6,AUTOMATIC,Performance,Large,Sedan,32615
Nissan,300ZX,1994,regular,222,6,MANUAL,Performance,Compact,Convertible,2847
Nissan,300ZX,1994,regular,222,6,MANUAL,Performance,Compact,Coupe,2488
Nissan,300ZX,1994,regular,300,6,MANUAL,Hatchback,Compact,2dr Hatchback,2683
Nissan,300ZX,1994,regular,222,6,MANUAL,Performance,Compact,Coupe,2553
Nissan,300ZX,1995,regular,300,6,MANUAL,Performance,Compact,Coupe,3049
Nissan,300ZX,1995,regular,222,6,MANUAL,Performance,Compact,Coupe,2774
Nissan,300ZX,1995,regular,222,6,MANUAL,Performance,Compact,Coupe,2702
Nissan,300ZX,1995,regular,222,6,MANUAL,Performance,Compact,Convertible,3101
Nissan,300ZX,1996,regular,300,6,MANUAL,Performance,Compact,Coupe,3510
Nissan,300ZX,1996,regular,222,6,MANUAL,Performance,Compact,Coupe,3107
Nissan,300ZX,1996,regular,222,6,MANUAL,Performance,Compact,Convertible,3624
Nissan,300ZX,1996,regular,222,6,MANUAL,Performance,Compact,Coupe,3185
Mazda,323,1992,regular,82,4,MANUAL,Hatchback,Compact,2dr Hatchback,2000
Mazda,323,1992,regular,82,4,MANUAL,Hatchback,Compact,2dr Hatchback,2000
Mazda,323,1993,regular,82,4,MANUAL,Hatchback,Compact,2dr Hatchback,2000
Mazda,323,1993,regular,82,4,MANUAL,Hatchback,Compact,2dr Hatchback,2000
Mazda,323,1994,regular,82,4,MANUAL,Hatchback,Compact,2dr Hatchback,2000
Mercedes-Benz,350-Class,1990,diesel,134,6,AUTOMATIC,Diesel,Large,Sedan,2144
Mercedes-Benz,350-Class,1990,diesel,134,6,AUTOMATIC,Diesel,Large,Sedan,2098
Mercedes-Benz,350-Class,1991,diesel,134,6,AUTOMATIC,Diesel,Large,Sedan,2178
Mercedes-Benz,350-Class,1991,diesel,134,6,AUTOMATIC,Diesel,Large,Sedan,2311
Nissan,350Z,2007,regular,306,6,AUTOMATIC,High-Performance,Compact,Convertible,36550
Nissan,350Z,2007,regular,306,6,AUTOMATIC,High-Performance,Compact,Convertible,41250
Nissan,350Z,2007,regular,306,6,AUTOMATIC,High-Performance,Compact,Coupe,30600
Nissan,350Z,2007,regular,306,6,AUTOMATIC,High-Performance,Compact,Coupe,37100
Nissan,350Z,2007,regular,306,6,MANUAL,High-Performance,Compact,Coupe,27900
Nissan,350Z,2007,regular,306,6,MANUAL,High-Performance,Compact,Coupe,32700
Nissan,350Z,2007,regular,306,6,MANUAL,High-Performance,Compact,Convertible,40250
Nissan,350Z,2007,regular,306,6,MANUAL,High-Performance,Compact,Convertible,35550
Nissan,350Z,2007,regular,306,6,MANUAL,High-Performance,Compact,Coupe,36100
Nissan,350Z,2007,regular,306,6,AUTOMATIC,High-Performance,Compact,Coupe,33200
Nissan,350Z,2007,regular,306,6,MANUAL,High-Performance,Compact,Convertible,37900
Nissan,350Z,2007,regular,306,6,MANUAL,High-Performance,Compact,Coupe,29600
Nissan,350Z,2007,regular,306,6,MANUAL,High-Performance,Compact,Coupe,38070
Nissan,350Z,2007,regular,306,6,AUTOMATIC,High-Performance,Compact,Convertible,38900
Nissan,350Z,2008,regular,306,6,AUTOMATIC,High-Performance,Compact,Coupe,33840
Nissan,350Z,2008,regular,306,6,MANUAL,High-Performance,Compact,Convertible,38630
Nissan,350Z,2008,regular,306,6,AUTOMATIC,High-Performance,Compact,Convertible,39630
Nissan,350Z,2008,regular,306,6,AUTOMATIC,High-Performance,Compact,Coupe,37740
Nissan,350Z,2008,regular,306,6,AUTOMATIC,High-Performance,Compact,Convertible,41980
Nissan,350Z,2008,regular,306,6,MANUAL,High-Performance,Compact,Convertible,36280
Nissan,350Z,2008,regular,306,6,MANUAL,High-Performance,Compact,Coupe,36740
Nissan,350Z,2008,regular,306,6,MANUAL,High-Performance,Compact,Convertible,40980
Nissan,350Z,2008,regular,306,6,MANUAL,High-Performance,Compact,Coupe,38680
Nissan,350Z,2008,regular,306,6,MANUAL,High-Performance,Compact,Coupe,28510
Nissan,350Z,2008,regular,306,6,MANUAL,High-Performance,Compact,Coupe,30210
Nissan,350Z,2008,regular,306,6,AUTOMATIC,High-Performance,Compact,Coupe,31210
Nissan,350Z,2008,regular,306,6,MANUAL,High-Performance,Compact,Coupe,33340
Nissan,350Z,2008,regular,306,6,AUTOMATIC,High-Performance,Compact,Convertible,37280
Nissan,350Z,2009,regular,306,6,MANUAL,High-Performance,Compact,Convertible,41570
Nissan,350Z,2009,regular,306,6,MANUAL,High-Performance,Compact,Convertible,36870
Nissan,350Z,2009,regular,306,6,AUTOMATIC,High-Performance,Compact,Convertible,42570
Nissan,350Z,2009,regular,306,6,AUTOMATIC,High-Performance,Compact,Convertible,37870
Nissan,350Z,2009,regular,306,6,MANUAL,High-Performance,Compact,Convertible,39220
Nissan,350Z,2009,regular,306,6,AUTOMATIC,High-Performance,Compact,Convertible,40220
Ferrari,360,2002,premium,400,8,MANUAL,Exotic,Compact,Convertible,160829
Ferrari,360,2002,premium,400,8,MANUAL,Exotic,Compact,Coupe,140615
Ferrari,360,2002,premium,400,8,AUTOMATED_MANUAL,Exotic,Compact,Coupe,150694
Ferrari,360,2002,premium,400,8,AUTOMATED_MANUAL,Exotic,Compact,Convertible,170829
Ferrari,360,2003,premium,400,8,MANUAL,Exotic,Compact,Convertible,165986
Ferrari,360,2003,premium,400,8,AUTOMATED_MANUAL,Exotic,Compact,Coupe,154090
Ferrari,360,2003,premium,400,8,MANUAL,Exotic,Compact,Coupe,143860
Ferrari,360,2003,premium,400,8,AUTOMATED_MANUAL,Exotic,Compact,Convertible,176287
Ferrari,360,2004,premium,400,8,AUTOMATED_MANUAL,Exotic,Compact,Coupe,157767
Ferrari,360,2004,premium,425,8,AUTOMATED_MANUAL,Exotic,Compact,Coupe,187124
Ferrari,360,2004,premium,400,8,MANUAL,Exotic,Compact,Coupe,147332
Ferrari,360,2004,premium,400,8,MANUAL,Exotic,Compact,Convertible,169900
Ferrari,360,2004,premium,400,8,AUTOMATED_MANUAL,Exotic,Compact,Convertible,180408
Nissan,370Z,2015,premium,350,6,AUTOMATIC,High-Performance,Compact,Coupe,46790
Nissan,370Z,2015,premium,332,6,MANUAL,High-Performance,Compact,Convertible,48100
Nissan,370Z,2015,premium,332,6,MANUAL,High-Performance,Compact,Coupe,29990
Nissan,370Z,2015,premium,332,6,AUTOMATIC,High-Performance,Compact,Convertible,41820
Nissan,370Z,2015,premium,332,6,AUTOMATIC,High-Performance,Compact,Coupe,31290
Nissan,370Z,2015,premium,332,6,AUTOMATIC,High-Performance,Compact,Coupe,34870
Nissan,370Z,2015,premium,332,6,MANUAL,High-Performance,Compact,Coupe,33570
